Title,Location,Price,Area,Room,Brokerage Firm,Brokerage Firm link
Apartment Keizersgracht,            1016 DV Amsterdam (Grachtengordel-West)        ,"                €2,250 per month            ",80 m²,3 rooms,Michiel Stolker Real Estate ,https://www.pararius.com/real-estate-agents/amsterdam/michiel-stolker-real-estate
House Troelstralaan,            1067 MX Amsterdam (Geuzenveld)        ,"                €2,600 per month            ",110 m²,4 rooms,Amsterdam Property Renting ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-property-renting
Apartment Rapenburgerplein,            1011 VJ Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,600 per month            ",55 m²,2 rooms,Housing Agency ,https://www.pararius.com/real-estate-agents/amsterdam/housing-agency-amsterdam
Apartment Olof Palmeplein,            1025 WS Amsterdam (Buikslotermeer)        ,"                €1,350 per month            ",60 m²,2 rooms,Valerius Rentals ,https://www.pararius.com/real-estate-agents/amsterdam/valerius-rentals
Apartment Wagenaarstraat 167,            1093 CN Amsterdam (Dapperbuurt)        ,"                €1,950 per month            ",60 m²,2 rooms,ADDRESS AMSTERDAM ,https://www.pararius.com/real-estate-agents/amsterdam/address-amsterdam
Apartment Huidekoperstraat 25 G,            1017 ZL Amsterdam (De Weteringschans)        ,"                €1,650 per month            ",50 m²,3 rooms,Isaak Makelaardij o.g. B.V. ,https://www.pararius.com/real-estate-agents/amsterdam/isaak-makelaardij-o-g-b-v-amsterdam
House Tolkamerstraat,            1107 PB Amsterdam (Holendrecht/Reigersbos)        ,"                €1,495 per month            ",84 m²,4 rooms,123Wonen Amstelveen ,https://www.pararius.com/real-estate-agents/amstelveen/123wonen-amstelveen
Apartment Prinsengracht 696 2,            1017 KZ Amsterdam (De Weteringschans)        ,"                €1,700 per month            ",55 m²,2 rooms,Joreno Vastgoed BV ,https://www.pararius.com/real-estate-agents/amsterdam/joreno-vastgoed-bv
Apartment Maasstraat 147 2,            1079 BE Amsterdam (Scheldebuurt)        ,"                €2,300 per month            ",85 m²,3 rooms,Amstel Property Agency ,https://www.pararius.com/real-estate-agents/amsterdam/amstel-property-agency
Apartment Leliegracht,            1016 GT Amsterdam (Grachtengordel-West)        ,"                €1,650 per month            ",72 m²,2 rooms,Leliegracht Apartments ,https://www.pararius.com/real-estate-agents/amsterdam/leliegracht-apartments-amsterdam
Apartment Bloemgracht 53 B,            1016 KE Amsterdam (Jordaan)        ,"                €1,884 per month            ",60 m²,2 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Overtoom 209 B,            1054 HT Amsterdam (Vondelbuurt)        ,"                €2,500 per month            ",128 m²,3 rooms,27 Huis Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/27-huis-makelaars
Apartment Johannes Verhulststraat 47 HS,            1071 MS Amsterdam (Museumkwartier)        ,"                €9,700 per month            ",250 m²,7 rooms,27 Huis Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/27-huis-makelaars
Apartment Tweede Jan van der Heijdenstraat 85 4,            1074 XS Amsterdam (Oude Pijp)        ,"                €2,300 per month            ",75 m²,3 rooms,Holland Home Management ,https://www.pararius.com/real-estate-agents/amsterdam/holland-home-management
Apartment Esther de Boer-van Rijkstraat 56 2,            1065 GP Amsterdam (Slotervaart Zuid)        ,"                €2,500 per month            ",95 m²,5 rooms,Parker & Williams Real Estate Services ,https://www.pararius.com/real-estate-agents/amsterdam/parker-williams-real-estate-services
Apartment Blasiusstraat,            1091 CV Amsterdam (Weesperzijde)        ,"                €3,500 per month            ",130 m²,4 rooms,Expats. Amsterdam Rentals ,https://www.pararius.com/real-estate-agents/amsterdam/expats-amsterdam-rentals-2
Apartment Oranje-Vrijstaatplein 32,            1093 NG Amsterdam (Dapperbuurt)        ,"                €2,250 per month            ",86 m²,3 rooms,ADDRESS AMSTERDAM ,https://www.pararius.com/real-estate-agents/amsterdam/address-amsterdam
Apartment Pieter Aertszstraat 69 C,            1073 SK Amsterdam (Nieuwe Pijp)        ,"                €1,750 per month            ",58 m²,3 rooms,Heimstaden ,https://www.pararius.com/real-estate-agents/amsterdam/heimstaden
Apartment Koningsstraat,            1011 EW Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,500 per month            ",135 m²,5 rooms,Keizerskroon makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/keizerskroon-makelaars-2
Apartment Brouwersgracht 206 D,            1013 HD Amsterdam (Haarlemmerbuurt)        ,"                €2,250 per month            ",84 m²,2 rooms,KK Amsterdam ,https://www.pararius.com/real-estate-agents/diemen/kk-amsterdam
Apartment Beemsterstraat 542 F2,            1024 BV Amsterdam (Waterlandpleinbuurt)        ,"                €1,295 per month            ",83 m²,3 rooms,Heimstaden ,https://www.pararius.com/real-estate-agents/amsterdam/heimstaden
Apartment Jan Haringstraat 1,            1056 XE Amsterdam (Landlust)        ,"                €1,950 per month            ",75 m²,3 rooms,Consilium BV ,https://www.pararius.com/real-estate-agents/amsterdam/consilium-bv
Apartment Van Boshuizenstraat 23,            1083 AP Amsterdam (Buitenveldert-Oost)        ,"                €2,100 per month            ",78 m²,3 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Middenweg 142 huis,            1097 BV Amsterdam (Frankendael)        ,"                €1,750 per month            ",59 m²,2 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Schimmelstraat,            1053 TG Amsterdam (Kinkerbuurt)        ,"                €1,825 per month            ",42 m²,2 rooms,I-housing ,https://www.pararius.com/real-estate-agents/amsterdam/i-housing
Apartment Stadionkade,            1077 VG Amsterdam (Apollobuurt)        ,"                €2,750 per month            ",120 m²,3 rooms,AmsterHomes ,https://www.pararius.com/real-estate-agents/amsterdam/amsterhomes
Apartment Valkenburgerstraat 136 E,            1011 NA Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,150 per month            ",95 m²,3 rooms,IdealEstate Housing Consultancy ,https://www.pararius.com/real-estate-agents/amsterdam/idealestate-housing-consultancy
