Title,Location,Price,Area,Room,Brokerage Firm,Brokerage Firm link
Apartment Marnixstraat,            1016 TC Amsterdam (Jordaan)        ,"                €5,500 per month            ",143 m²,3 rooms,City Housing Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/city-housing-amsterdam
Apartment Bilderdijkkade,            1053 VA Amsterdam (Da Costabuurt)        ,"                €1,800 per month            ",57 m²,2 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Faas Wilkesstraat,            1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,395 per month            ",51 m²,2 rooms,Lemoo ,https://www.pararius.com/real-estate-agents/utrecht/lemoo
Apartment Pieter Cornelisz. Hooftstraat 192,            1071 CH Amsterdam (Museumkwartier)        ,"                €4,000 per month            ",95 m²,3 rooms,De Graaf & Groot Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/de-graaf-groot-makelaars
Apartment Haarlemmerweg,            1051 LE Amsterdam (Staatsliedenbuurt)        ,"                €1,700 per month            ",42 m²,2 rooms,The Dutch Realty ,https://www.pararius.com/real-estate-agents/amsterdam/the-dutch-realty
Apartment Wijttenbachstraat 12 1,            1093 JB Amsterdam (Dapperbuurt)        ,"                €1,650 per month            ",60 m²,3 rooms,Van Huis Uit Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/van-huis-uit-makelaars
Apartment Pieter Langendijkstraat 12 2,            1054 ZA Amsterdam (Overtoomse Sluis)        ,"                €1,850 per month            ",63 m²,3 rooms,Van Huis Uit Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/van-huis-uit-makelaars
Apartment Van Baerlestraat 120,            1071 BD Amsterdam (Museumkwartier)        ,"                €2,250 per month            ",70 m²,3 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Nieuwe Prinsengracht,            1018 VV Amsterdam (Weesperbuurt/Plantage)        ,"                €2,950 per month            ",114 m²,4 rooms,The Rental Agency Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/the-rental-agency-amsterdam
Apartment Weesperzijde 6 3,            1091 EA Amsterdam (Weesperzijde)        ,"                €2,600 per month            ",92 m²,3 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Churchill-laan,            1078 EC Amsterdam (Scheldebuurt)        ,"                €3,600 per month            ",97 m²,4 rooms,I-housing ,https://www.pararius.com/real-estate-agents/amsterdam/i-housing
Apartment Weesperzijde,            1091 EJ Amsterdam (Weesperzijde)        ,"                €1,850 per month            ",59 m²,2 rooms,HB Housing ,https://www.pararius.com/real-estate-agents/amsterdam/hb-housing-amsterdam
Apartment Scheldestraat 46 I,            1078 GM Amsterdam (Scheldebuurt)        ,"                €1,825 per month            ",58 m²,3 rooms,BrinkBorgh Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/brinkborgh-makelaardij
Apartment Van Nijenrodeweg,            1082 JJ Amsterdam (Buitenveldert-West)        ,"                €1,580 per month            ",35 m²,2 rooms,Orange Wonen ,https://www.pararius.com/real-estate-agents/wormerveer/orange-wonen
Apartment Wouwermanstraat,            1071 LX Amsterdam (Museumkwartier)        ,"                €6,900 per month            ",241 m²,7 rooms,BIC Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/bic-makelaardij
Apartment Kerkstraat 127 B,            1017 GE Amsterdam (Grachtengordel-Zuid)        ,"                €2,400 per month            ",84 m²,3 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Kleiburg 8 C,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,550 per month            ",79 m²,3 rooms,Hoen Vastgoedbeheer ,https://www.pararius.com/real-estate-agents/amsterdam/hoen-vastgoedbeheer
Apartment Burgemeester Hogguerstraat,            1064 ED Amsterdam (Slotermeer-Zuidwest)        ,"                €1,500 per month            ",50 m²,2 rooms,Expathousing.com (Amsterdam) ,https://www.pararius.com/real-estate-agents/amsterdam/expathousing-com-amsterdam
Apartment Stadionweg 90 3,            1077 SR Amsterdam (Apollobuurt)        ,"                €2,900 per month            ",107 m²,4 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Plantage Muidergracht,            1018 TS Amsterdam (Weesperbuurt/Plantage)        ,"                €1,850 per month            ",50 m²,2 rooms,Marktpand ,https://www.pararius.com/real-estate-agents/utrecht/marktpand
Apartment Keizersgracht 642 B,            1017 ES Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",122 m²,2 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Kinkerstraat 41 3V,            1053 DD Amsterdam (Van Lennepbuurt)        ,"                €1,450 per month            ",35 m²,2 rooms,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
Apartment Cliostraat 10,            1077 KG Amsterdam (Apollobuurt)        ,"                €2,200 per month            ",108 m²,3 rooms,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
Apartment Govert Flinckstraat 113 2A1,            1072 EG Amsterdam (Oude Pijp)        ,"                €1,528 per month            ",35 m²,2 rooms,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
